@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
3836,'2018/02/18 22:00:52:081',15,124.936317,-184.309525,978.187073,64.77,25.4
3837,'2018/02/18 22:00:52:083',15,124.936317,-184.309525,978.187073,64.77,25.4
3838,'2018/02/18 22:00:52:115',15,93.895981,-202.656662,1021.715515,64.77,25.4
3839,'2018/02/18 22:00:52:117',15,93.895981,-202.656662,1021.715515,64.77,25.4
3840,'2018/02/18 22:00:52:151',15,122.523666,-185.437057,976.322754,64.77,25.4
3841,'2018/02/18 22:00:52:153',15,122.523666,-185.437057,976.322754,64.77,25.4
3842,'2018/02/18 22:00:52:173',15,120.146454,-187.385803,975.312561,64.77,25.4
3843,'2018/02/18 22:00:52:208',15,70.035202,-209.84549,1003.662781,64.77,25.4
3844,'2018/02/18 22:00:52:210',15,70.035202,-209.84549,1003.662781,64.77,25.4
3845,'2018/02/18 22:00:52:215',15,70.035202,-209.84549,1003.662781,64.77,25.4
3846,'2018/02/18 22:00:52:244',15,125.393562,-182.587341,983.598328,64.77,25.4
3847,'2018/02/18 22:00:52:248',15,125.393562,-182.587341,983.598328,64.77,25.4
3848,'2018/02/18 22:00:52:277',15,75.34639,-208.400986,1004.271484,64.77,25.4
3849,'2018/02/18 22:00:52:281',15,75.34639,-208.400986,1004.271484,64.77,25.4
3850,'2018/02/18 22:00:52:312',15,127.24015,-182.314301,983.868591,64.77,25.4
3851,'2018/02/18 22:00:52:315',15,127.24015,-182.314301,983.868591,64.77,25.4
3852,'2018/02/18 22:00:52:346',15,127.934402,-182.633972,986.629028,64.77,25.4
3853,'2018/02/18 22:00:52:349',15,127.934402,-182.633972,986.629028,64.77,25.4
3854,'2018/02/18 22:00:52:383',15,127.24427,-181.884888,986.059814,64.77,25.4
3855,'2018/02/18 22:00:52:385',15,127.24427,-181.884888,986.059814,64.77,25.4
3856,'2018/02/18 22:00:52:405',15,79.192856,-209.640289,1002.581482,64.77,25.4
3857,'2018/02/18 22:00:52:438',15,130.876053,-177.31813,1045.856934,64.77,25.4
3858,'2018/02/18 22:00:52:452',15,130.876053,-177.31813,1045.856934,64.77,25.4
3859,'2018/02/18 22:00:52:484',15,134.371948,-168.937424,1000.90448,64.77,25.4
3860,'2018/02/18 22:00:52:486',15,134.371948,-168.937424,1000.90448,64.77,25.4
3861,'2018/02/18 22:00:52:507',15,89.356232,-205.66777,1004.484802,64.77,25.4
3862,'2018/02/18 22:00:52:540',15,95.278114,-202.127228,1010.090393,64.77,25.4
3863,'2018/02/18 22:00:52:556',15,95.278114,-202.127228,1010.090393,64.77,25.4
3864,'2018/02/18 22:00:52:575',15,104.278336,-198.575531,1023.493652,64.77,25.4
3865,'2018/02/18 22:00:52:582',15,104.278336,-198.575531,1023.493652,64.77,25.4
3866,'2018/02/18 22:00:52:610',15,92.474144,-205.242447,1012.319275,64.77,25.4
3867,'2018/02/18 22:00:52:615',15,92.474144,-205.242447,1012.319275,64.77,25.4
3868,'2018/02/18 22:00:52:644',15,121.465134,-175.613525,987.546814,64.77,25.4
3869,'2018/02/18 22:00:52:648',15,121.465134,-175.613525,987.546814,64.77,25.4
3870,'2018/02/18 22:00:52:677',15,122.166687,-174.869247,987.771179,64.77,25.4
3871,'2018/02/18 22:00:52:681',15,122.166687,-174.869247,987.771179,64.77,25.4
3872,'2018/02/18 22:00:52:713',15,123.944443,-171.734772,989.533752,64.77,25.4
